"name","lon","lat","inn","tavern","bar","region"
"Red Lion",-0.8149631,51.7311702,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.584517,51.657987,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.0168091,51.0543447,FALSE,FALSE,FALSE,"England"
"The Red Lion",1.0802705,51.0708297,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.2364254,51.5679599,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.7500317,51.2423748,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.8722399,51.7111267,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.0810212,51.013156,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.1774048,51.2401982,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.94053,51.2540913,FALSE,FALSE,FALSE,"England"
"Red Lion",0.7178555,51.2371754,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.5902266,50.7255129,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.2657827,51.2438997,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.3732802,51.7803603,FALSE,FALSE,FALSE,"England"
"The Red Lion Pub",0.2914394,50.8167727,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.9022402,51.1178272,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.0805479,51.6676547,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.9887216,51.2906954,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.0320549,51.6338433,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.4859764,51.7836442,FALSE,FALSE,FALSE,"England"
"The Red Lion Hotel",-1.1737226,50.8520382,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.2132946,50.825015,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.6429214,51.1151657,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.312776,51.6451218,FALSE,FALSE,FALSE,"England"
"The Red Lion",1.3061026,51.1325584,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.5459418,51.2369554,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.347515,51.4441563,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.5974772,51.500523,FALSE,FALSE,FALSE,"England"
"Red Lion",1.4192086,51.364934,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.9341894,51.0039917,FALSE,FALSE,FALSE,"England"
"Red Lion Inn",-1.8364832,51.8297986,TRUE,FALSE,FALSE,"England"
"The Red Lion",-1.0667618,50.8468414,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.5441665,51.9404371,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.0780705,51.4366841,FALSE,FALSE,FALSE,"England"
"Red Lion",0.8365281,51.0219113,FALSE,FALSE,FALSE,"England"
"The Old Red Lion",-1.008744,51.7117882,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.8337679,51.4099044,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.800556,51.2727499,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.7597708,51.2096046,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.3931017,51.7229912,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.9025981,51.5433125,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.3154218,51.460975,FALSE,FALSE,FALSE,"England"
"The Red Lion",0.8767928,51.2492188,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.0858624,51.1049694,FALSE,FALSE,FALSE,"England"
"Red Lion",1.3707722,51.154913,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.6680263,51.3527857,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.5326089,51.4084535,FALSE,FALSE,FALSE,"England"
"The Old Red Lion",-0.4995179,51.4330058,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.510786,50.6844416,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.2224914,51.9307335,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.9524361,52.6775595,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.2463293,52.1619333,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.8932124,52.218043,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.6481127,51.9219052,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.1225618,52.4796939,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.0888361,52.6090557,FALSE,FALSE,FALSE,"England"
"Red Lion",-3.1062652,51.8769519,FALSE,FALSE,FALSE,"Wales"
"The Red Lion",-2.3262574,52.4383282,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.1218352,52.5414388,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.3307468,52.1122641,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.7205752,52.7423014,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.2304721,52.4173256,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.1586671,52.2545294,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.3092688,52.3765179,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.8311569,52.6347365,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.5265043,52.6931782,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.1798043,52.7594295,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.7803656,52.7710519,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.4824374,52.9034955,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.3506201,52.7956158,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.060445,52.335317,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.9768695,52.0944996,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.4054263,51.8723099,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.4050405,51.9304174,FALSE,FALSE,FALSE,"England"
"Red Lion",-2.063088,52.893098,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.3858437,53.927539,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.6943827,53.9048674,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.077776,53.9571962,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.5424824,53.7945085,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.6647025,53.8638585,FALSE,FALSE,FALSE,"England"
"Red Lion",-0.4327347,53.7455104,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.5811669,53.6876619,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.7921512,53.798851,FALSE,FALSE,FALSE,"England"
"Old Red Lion",-1.7639004,53.7834892,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.1673186,53.7189079,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.4413782,54.0074742,FALSE,FALSE,FALSE,"England"
"The Red Lion",-0.4422717,53.6852957,FALSE,FALSE,FALSE,"England"
"The Old Red Lion",-1.5421333,53.7929309,FALSE,FALSE,FALSE,"England"
"The Red Lion",-1.7620522,53.768324,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.748779,53.9138607,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.1647991,53.7707123,FALSE,FALSE,FALSE,"England"
"Red Lion",-1.5378563,54.065296,FALSE,FALSE,FALSE,"England"
"Old Red Lion",-1.4513996,53.826926,FALSE,FALSE,FALSE,"England"
"The Red Lion Hotel",-1.3106346,53.6918397,FALSE,FALSE,FALSE,"England"
"Red Lion",-3.6289535,56.0548453,FALSE,FALSE,FALSE,"Scotland"
"Red Lion",-4.6104971,55.5016133,FALSE,FALSE,FALSE,"Scotland"
"Red Lion Hotel",-4.0464346,51.7159792,FALSE,FALSE,FALSE,"Wales"
"The Red Lion",-3.8826907,51.9382164,FALSE,FALSE,FALSE,"Wales"
"Red Lion",-3.3451245,51.4577104,FALSE,FALSE,FALSE,"Wales"
"Red Lion",-3.6994564,53.2895136,FALSE,FALSE,FALSE,"Wales"
"Red Lion",-4.2722094,52.2231704,FALSE,FALSE,FALSE,"Wales"
"The Red Lion",-3.2606792,51.9404428,FALSE,FALSE,FALSE,"Wales"
"Red Lion",-3.4290706,52.5164231,FALSE,FALSE,FALSE,"Wales"
"Red Lion",-3.5296663,51.7657375,FALSE,FALSE,FALSE,"Wales"
"The Red Lion",-3.6907482,52.7194124,FALSE,FALSE,FALSE,"Wales"
"Red Lion",-2.9536413,51.6114158,FALSE,FALSE,FALSE,"Wales"
"The Red Lion",-3.1535679,51.6635165,FALSE,FALSE,FALSE,"Wales"
"Red Lion Hotel",-3.8624683,52.2824153,FALSE,FALSE,FALSE,"Wales"
"Red Lion Inn",-4.2760035,51.6875977,TRUE,FALSE,FALSE,"Wales"
"Red Lion",-2.3057235,51.1167039,FALSE,FALSE,FALSE,"England"
"Red Lion Hotel",-2.1101021,50.6860805,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.4121538,51.8239036,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.0108037,50.7206581,FALSE,FALSE,FALSE,"England"
"Red Lion Inn",-3.6092666,50.8004732,TRUE,FALSE,FALSE,"England"
"Red Lion Inn",-3.6032504,50.383911,TRUE,FALSE,FALSE,"England"
"The Red Lion",-2.42438,51.7963759,FALSE,FALSE,FALSE,"England"
"Red Lion",-3.5545858,50.980908,FALSE,FALSE,FALSE,"England"
"Red Lion",-5.5478886,50.1021857,FALSE,FALSE,FALSE,"England"
"Red Lion",-5.1093169,50.1167041,FALSE,FALSE,FALSE,"England"
"Red Lion",-3.6834447,50.7350187,FALSE,FALSE,FALSE,"England"
"Red Lion",-5.2748614,50.1012094,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.0707275,50.8026874,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.9968864,50.7819138,FALSE,FALSE,FALSE,"England"
"The Red Lion",-3.8687853,50.9127414,FALSE,FALSE,FALSE,"England"
"The Red Lion",-2.1101823,51.1824623,FALSE,FALSE,FALSE,"England"
"Red Lion Inn",-2.6223133,51.0556491,TRUE,FALSE,FALSE,"England"
"The Old Red Lion",-2.3981437,51.1314952,FALSE,FALSE,FALSE,"England"
"Red Lion",-3.2207438,50.7189265,FALSE,FALSE,FALSE,"England"
"Red Lion",-5.1803787,50.2701011,FALSE,FALSE,FALSE,"England"
"Red Lion",-3.9847262,50.7991503,FALSE,FALSE,FALSE,"England"
"The Crown",-0.5206723,52.6682271,FALSE,FALSE,FALSE,"England"
"The Crown",-1.1921668,52.9555139,FALSE,FALSE,FALSE,"England"
"The Crown",0.3048555,52.4569292,FALSE,FALSE,FALSE,"England"
"Old Crown",-1.1080677,52.5823656,FALSE,FALSE,FALSE,"England"
"The Crown",0.2745356,52.096231,FALSE,FALSE,FALSE,"England"
"The Crown",-1.1939483,52.6720964,FALSE,FALSE,FALSE,"England"
"The Crown",-1.3545798,53.4951573,FALSE,FALSE,FALSE,"England"
